Q (uL/min),Vg (mm/min),Layer Height (mm),Average Line Width (μm),Average Line Height (μm)
80.9763998039883,1920.22854913311,0.2,364.27,78.405
91.1441290198003,1728.30522186418,0.2,482.52072,79.69
68.0731585963373,1126.44812543853,0.3,548.697615438705,182.355
50.3271385704494,733.28753957131,0.3,737.221666666667,72.07
119.643914749216,1286.97505394704,0.3,401.581666666667,82.63
137.527799216772,1299.31726477849,0.45,660.704066666667,142.86
206.613347158654,1839.06365797826,0.45,446.693333333333,220.93
167.757744951308,1404.38394209279,0.45,386.8677333,300.09
148.816290456032,1094.0524318958,0.47,504.35429,220.5475
227.924869564903,1674.69833122849,0.45,686.118213333333,218.75
111.297154441838,748.842019694595,0.5,623.775173333333,266.67
235.78174979985,1572.74455709601,0.5,619.005,208.71
266.452369502844,1767.60839737203,0.5,554.178333333333,196.9025
299.787160396048,1968.02269417207,0.5,607.841666666667,211.715
214.686582885562,1357.47142432632,0.5,466.1,153.7175
157.014218180698,944.104507758446,0.5,797.858495,217.2075
60.6201930699681,343.686227711915,0.5,553.805,258.545
301.724552677632,1685.75995919478,0.5,582.205716666667,318.68
171.752516812084,912.66118376028,0.5,598.64313537263,361.3675
312.587769204085,1631.42155483837,0.6,835.697575,184.78
240.496492191096,1192.59353949401,0.6,778.26646,243.675
339.477876177535,1605.47901467833,0.6,723.18985,307.4725
389.554369366611,1808.1743250347,0.6,722.876666666667,217.155
401.346906047007,1862.63143716898,0.6,573.201666666667,258.8525
187.195617181752,858.801400307889,0.6,599.903283333333,371.0525
451.330690691184,1973.38793903128,0.6,657.153333333333,208.82
101.30618115015,388.879284302968,0.8,604.25,269.23
277.647310741136,1054.42612905337,0.8,759.111411322563,439.0225
498.465776414395,1855.76256808535,0.8,626.065,298.6775
393.470212452193,1429.06398175962,0.6,832.079175,336.205
361.297980575806,1311.20901400141,0.8,745.040485834677,448.72
439.959158924239,1508.24281775189,0.8,735.045206695867,376.44
479.88972432424,1537.73321215621,0.7,771.349783333333,397.85
